ID,Country,Total Cases,Total Deaths
1,Sierra Leone,14124,3956
2,Liberia,10675,4809
3,Guinea,3811,2543
4,DR Congo,1364,1062
5,Uganda,607,283
6,Sudan,335,180
7,Gabon,208,150
8,Nigeria,20,8
9,Mali,8,6
10,United States,4,1
11,Italy,1,0
12,United Kingdom,1,0
13,Spain,1,0
14,Senegal,1,0
15,South Africa,1,1
16,Cote d'Ivoire,1,0
